,Mileage,Rating,Rating-Count,Year,Price,Name,Status,model_details
2354,23236,4.3,1965,2021,72842.0,Ford,Good,1 Ford Expedition Platinum
2355,63779,4.3,141,2018,43400.0,GMC,Great,18 GMC Yukon SLT
2356,55069,4.6,362,2020,34898.0,RAM,Great, RAM 1500 Big Horn
2357,7427,4.8,421,2021,125995.0,Porsche,Good,1 Porsche Taycan 4S
2358,51616,4.6,3346,2020,42995.0,Toyota,Fair, Toyota Tacoma TRD Off Road
2359,25613,4.9,594,2021,33992.0,Jeep,Great,1 Jeep Cherokee Trailhawk
2360,17706,4.8,591,2021,48690.0,Toyota,Unknown,1 Toyota Tundra Limited
2361,55002,4.3,23,2019,40990.0,Chevrolet,Good,19 Chevrolet Traverse Premier
2362,18092,4.2,161,2021,41791.0,Volkswagen,Good,1 Volkswagen Atlas 3.6 V6 SEL
2363,22940,3.1,69,2021,26677.0,Subaru,Great,1 Subaru Legacy Premium
2364,5111,2.6,176,2021,42453.0,RAM,Great, RAM 1500 Big Horn
2365,35603,4.9,418,2021,46000.0,RAM,Good,1 RAM 1500 Laramie
